timestamp,metric_type,trigger_event,folder,duration_ms,completeness_pct,accuracy_pct,memory_mb,cpu_load,additional_data
2025-04-23T23:57:43.237Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:57:43.252Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":1,"medium":1,"low":0,"total":2}"
2025-04-24T00:05:02.772Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-24T00:05:02.777Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":1,"medium":1,"low":0,"total":2}"
2025-04-24T00:06:01.592Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.32,0,""
2025-04-24T00:06:02.619Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.37,0,""
2025-04-24T00:06:03.619Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.45,0,""
2025-04-24T00:06:04.619Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.5,0,""
2025-04-24T00:06:05.620Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.54,0,""
2025-04-24T00:06:06.623Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.72,0,""
2025-04-24T00:06:06.837Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.76,0,""
2025-04-24T00:06:07.636Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.81,0,""
2025-04-24T00:06:07.851Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.85,0,""
2025-04-24T00:06:08.651Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.89,0,""
2025-04-24T00:06:09.655Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.99,0,""
2025-04-24T00:06:10.664Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,95.03,0,""
2025-04-24T00:06:11.677Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.38,0,""
2025-04-24T00:06:12.395Z,"sbom_generation","package-lock.json_changed","sbom-testapp-1",11806.34,,,,0,""
2025-04-24T00:06:12.427Z,"sbom_completeness","package-lock.json_changed","sbom-testapp-1",,100,,,,""
2025-04-24T00:06:12.443Z,"vulnerability_accuracy","package-lock.json_changed","sbom-testapp-1",,,0,,,""
